step,num_nodes,p_n,p_r,expected_mean_degree,mean_degree,assort
2000,100,0.1,0.001,1.2172949002217297,1.4,0.8281431620557822
2000,100,0.1,0.001,1.2172949002217297,1.24,0.6671438867564304
2000,100,0.1,0.001,1.2172949002217297,1.04,0.8724326955561125
2000,100,0.1,0.001,1.2172949002217297,1.18,0.6274448169121528
2000,100,0.1,0.001,1.2172949002217297,1.28,0.6817272982962442
2000,100,0.1,0.001,1.2172949002217297,1.16,0.7880644800679069
2000,100,0.1,0.001,1.2172949002217297,1.24,0.8485927289268846
2000,100,0.1,0.001,1.2172949002217297,1.14,0.8541911927997791
2000,100,0.1,0.001,1.2172949002217297,1.08,0.8842718761329789
2000,100,0.1,0.001,1.2172949002217297,1.2,0.8887962014841793
2000,100,0.1,0.001,1.2172949002217297,1.14,0.7024193635937284
2000,100,0.1,0.001,1.2172949002217297,1.14,0.7217059214263174
2000,100,0.1,0.001,1.2172949002217297,1.2,0.807825644231316
2000,100,0.1,0.001,1.2172949002217297,1.22,0.8329259969364955
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7384063734492748
2000,100,0.1,0.001,1.2172949002217297,1.14,0.7261337781776781
2000,100,0.1,0.001,1.2172949002217297,1.12,0.7836083405568676
2000,100,0.1,0.001,1.2172949002217297,1.0,0.8876589363991303
2000,100,0.1,0.001,1.2172949002217297,1.04,0.8730462260711085
2000,100,0.1,0.001,1.2172949002217297,1.26,0.7174179870179891
2000,100,0.1,0.001,1.2172949002217297,1.06,0.8578261610949215
2000,100,0.1,0.001,1.2172949002217297,1.26,0.6490969068198211
2000,100,0.1,0.001,1.2172949002217297,1.24,0.8227603416039883
2000,100,0.1,0.001,1.2172949002217297,1.14,0.8252622694959845
2000,100,0.1,0.001,1.2172949002217297,1.26,0.8390620807634862
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7740234391547861
2000,100,0.1,0.001,1.2172949002217297,1.18,0.8997835164715479
2000,100,0.1,0.001,1.2172949002217297,1.32,0.7684578611181492
2000,100,0.1,0.001,1.2172949002217297,1.14,0.9088031367656528
2000,100,0.1,0.001,1.2172949002217297,1.28,0.75882281566499
2000,100,0.1,0.001,1.2172949002217297,1.2,0.846119028976014
2000,100,0.1,0.001,1.2172949002217297,1.1,0.8629162692048951
2000,100,0.1,0.001,1.2172949002217297,1.14,0.8131045044160939
2000,100,0.1,0.001,1.2172949002217297,1.3,0.9132853774098101
2000,100,0.1,0.001,1.2172949002217297,1.24,0.7582633767627049
2000,100,0.1,0.001,1.2172949002217297,1.22,0.8609167452798255
2000,100,0.1,0.001,1.2172949002217297,0.98,0.6835541275961159
2000,100,0.1,0.001,1.2172949002217297,1.16,0.805831130187532
2000,100,0.1,0.001,1.2172949002217297,1.02,0.8003430291968704
